Mesures enregistrées le 23/05/23 à 22:56

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.45231011910750973	;	0.23636655445033	;	0.10849793880341961
0.46115878955917605	;	0.23650402296453	;	0.11472048746931413
0.4662192235252055	;	0.23934815241798	;	0.12098339768798728
0.47048063457533545	;	0.23758654634383	;	0.13219813488258103
0.45108413362442923	;	0.22860241793069	;	0.10868591895344581
0.460559834271215	;	0.22853078912277	;	0.11456790707313072
0.46686829580689876	;	0.22839667562758	;	0.1229869490829374
0.470042791944852	;	0.22642201029993	;	0.131862064675636
0.44041467215779423	;	0.22924448996785	;	0.10533041063756594
0.4709098585060011	;	0.23751215941374	;	0.14409787961469953
0.46599659334539467	;	0.23790659449086	;	0.1569758575808332
0.4596662378397522	;	0.23606252211628	;	0.16435723495306612
0.4494481273715403	;	0.23789238533546	;	0.17056869107086625
0.4707965735309817	;	0.22658218241533	;	0.14257402325104318
0.4669185267073721	;	0.22516247871655	;	0.1550261806536447
0.42831834292188653	;	0.22914095844241	;	0.10658632032291257
0.4290784622324769	;	0.23879047613658	;	0.10613492061511227
0.41834038110695204	;	0.2298526490827	;	0.111280564233638
0.4178299438972333	;	0.23950695819433	;	0.11146950001410569
0.40946841034543185	;	0.22864497134649	;	0.1199917696357089
0.41071144653888775	;	0.23965731311373	;	0.11835124851469696
0.4045453395372361	;	0.2305132219906	;	0.13147840389574614
0.40474834811740784	;	0.23948040424909	;	0.1336684471892073
0.40415538494277525	;	0.22834221408879	;	0.1437275937799709
0.40515139396616867	;	0.24061065653855	;	0.14636288802158495
0.41163475447699815	;	0.24173065742135	;	0.16004089704091867
0.40929810039205533	;	0.23100461716955	;	0.15835746640912732
0.4161654558907118	;	0.23784502851035	;	0.16497453266618564
0.41600726661422377	;	0.22927019802863	;	0.16500017264410471
0.4265013019266602	;	0.24308697909516	;	0.1705232264395156
0.43336419946159194	;	0.23842495157351	;	0.17228797326573342
0.42387839341990896	;	0.22488591140501	;	0.1706537390288519
0.43740769633211646	;	0.22371893058754	;	0.17327544927740138
0.42650119419191973	;	0.22949742421529	;	0.17117312669767915
0.44634433474120994	;	0.21920878821074	;	0.1717015242760265
